profile,mean_rho_real
OutOfFocus,0.10073463266775773
Metaphase,0.13139922605215137
MetaphaseAlignment,0.14517391794230394
Large,0.1482367791371488
Anaphase,0.15650479608991533
Apoptosis,0.1762858259363896
SmallIrregular,0.24237625897755977
Elongated,0.2712370916745004
Folded,0.2882696005225906
Binuclear,0.3258004638947451
Grape,0.327177791535563
Interphase,0.3424213985129714
Prometaphase,0.3473546385279508
Polylobed,0.34938013645686744
Hole,0.40691895860031285
ADCCM,0.42070576160986695
